Date,Open,High,Low,Close,Adj Close,Volume
2018-08-13,43.636299,46.363602,43.545399,45.454498,45.394753,29658
2018-08-14,47.263599,48.181801,46.363602,47.272701,47.210567,65026
2018-08-15,48.181801,48.181801,47.272701,47.727200,47.664471,60500
2018-08-16,49.090900,49.090900,47.272701,47.727200,47.664471,194026
2018-08-17,48.863602,48.863602,48.863602,47.727200,47.664471,23842
2018-08-20,47.727200,47.727200,47.727200,47.727200,47.664471,0
2018-08-21,48.863602,50.000000,48.863602,49.090900,49.026379,55332
2018-08-22,49.545399,49.545399,49.545399,49.545399,49.480278,12045
2018-08-23,50.636299,50.909000,50.636299,49.545399,49.480278,13535
2018-08-24,49.772701,49.772701,49.772701,49.545399,49.480278,9
2018-08-28,50.909000,51.727200,50.000000,50.000000,49.934284,29835
2018-08-29,50.000000,51.727200,50.000000,50.000000,49.934284,2750
2018-08-30,50.000000,51.545399,50.000000,50.000000,49.934284,9770
2018-08-31,50.000000,50.000000,50.000000,50.000000,49.934284,4550
2018-09-03,51.545399,51.545399,51.545399,50.000000,49.934284,7634
2018-09-04,51.545399,51.545399,50.000000,50.000000,49.934284,5555
2018-09-05,50.000000,50.000000,50.000000,50.000000,49.934284,29381
2018-09-06,50.000000,50.000000,50.000000,50.000000,49.934284,0
2018-09-07,48.799999,50.000000,50.000000,50.000000,49.934284,36477
2018-09-10,49.090900,50.000000,50.000000,50.000000,49.934284,7440
2018-09-11,50.454498,50.454498,48.799999,50.000000,49.934284,10989
2018-09-12,50.000000,50.000000,50.000000,50.000000,49.934284,0
2018-09-13,50.409000,50.409000,48.181801,50.000000,49.934284,12856
2018-09-14,50.000000,50.000000,50.000000,50.000000,49.934284,0
2018-09-17,50.000000,50.000000,50.000000,50.000000,49.934284,55
2018-09-18,48.799999,48.799999,48.799999,50.000000,49.934284,7297
2018-09-19,48.181801,48.181801,48.181801,48.636299,48.572372,18581
2018-09-20,47.272701,47.272701,47.272701,48.636299,48.572372,3379
2018-09-21,47.727200,49.090900,47.272701,48.636299,48.572372,6141
2018-09-24,47.272701,47.272701,45.500000,47.272701,47.210567,26473
2018-09-25,48.181801,48.181801,48.181801,47.272701,47.210567,2074
2018-09-26,47.272701,47.272701,47.272701,47.272701,47.210567,0
2018-09-27,48.345402,48.345402,45.681801,47.272701,47.210567,14006
2018-09-28,44.090900,45.272701,44.090900,46.818100,46.756565,93760
2018-10-01,44.727200,45.863602,44.727200,46.818100,46.756565,13490
2018-10-02,45.863602,45.863602,44.590900,46.818100,46.756565,4902
2018-10-03,44.772701,44.772701,44.545399,45.909000,45.848660,22352
2018-10-04,45.409000,45.409000,45.409000,45.909000,45.848660,11000
2018-10-05,46.363602,46.363602,46.363602,45.909000,45.848660,5500
2018-10-08,44.545399,44.545399,44.545399,45.909000,45.848660,5533
2018-10-09,44.545399,44.545399,41.818100,40.227200,40.174328,232241
2018-10-10,40.227200,40.900002,38.181801,40.454498,40.401329,125131
2018-10-11,39.090900,40.818100,39.090900,39.090900,39.039520,55429
2018-10-12,40.000000,40.000000,38.181801,39.090900,39.039520,417809
2018-10-15,39.090900,39.090900,39.090900,39.090900,39.039520,0
2018-10-16,39.772701,40.363602,39.772701,39.545399,39.493420,13442
2018-10-17,39.090900,39.090900,39.090900,39.090900,39.039520,8560
2018-10-18,40.000000,41.808998,39.545399,40.909000,40.855232,68363
2018-10-19,40.454498,40.454498,39.090900,40.909000,40.855232,42671
2018-10-22,40.909000,40.909000,40.909000,40.909000,40.855232,0
2018-10-23,40.000000,40.000000,40.000000,40.909000,40.855232,1964
2018-10-24,40.909000,40.909000,40.909000,40.909000,40.855232,0
2018-10-25,42.718102,42.718102,40.090900,40.000000,39.947426,27500
2018-10-26,40.900002,41.818100,40.900002,40.909000,40.855232,28600
2018-10-29,40.454498,40.454498,40.454498,40.454498,40.401329,0
2018-10-30,40.909000,40.909000,40.272701,40.681801,40.628330,33088
2018-10-31,41.363602,41.363602,40.272701,40.681801,40.628330,4637
2018-11-01,40.000000,40.272701,40.000000,40.681801,40.628330,900
2018-11-02,40.272701,40.272701,40.272701,40.681801,40.628330,11420
2018-11-05,40.000000,41.363602,40.000000,42.272701,42.217140,387278
2018-11-06,42.272701,42.272701,42.272701,42.272701,42.217140,0
2018-11-07,44.000000,46.363602,46.363602,46.363602,46.302662,170182
2018-11-08,47.227200,47.272701,45.454498,47.272701,47.210567,216761
2018-11-09,46.363602,46.363602,46.363602,47.272701,47.210567,4400
